concern,skin_type,ingredients,benefits,directions,brands,notes
dry cheeks,oily,"squalane, glycerin",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Vichy, LANEIGE, Babor",Avoid mixing strong actives; discontinue if irritation occurs
scarring,oily,"hyaluronic acid, ceramides",Helps improve scarring; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Dermalogica, Clinique, Guerlain",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,dry,"peptides, retinol",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Krave Beauty, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,oily,"aloe vera, green tea",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sunday Riley, Murad, SK-II",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,sensitive,"glycerin, hyaluronic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Guerlain, Simple",Avoid mixing strong actives; discontinue if irritation occurs
blotchiness,oily,"coenzyme Q10, retinol",Helps improve blotchiness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Cosrx, 111Skin, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,combination,"azelaic acid, tranexamic acid",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Tatcha, Farmacy, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
stress-induced acne,dry,"salicylic acid, tea tree oil",Helps improve stress-induced acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, CeraVe, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,sensitive,"green tea, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Neutrogena, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,combination,"arbutin, AHA",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Krave Beauty, Drunk Elephant, Babor",Avoid mixing strong actives; discontinue if irritation occurs
fine lines,combination,"collagen, retinol",Helps improve fine lines; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Cetaphil, StriVectin",Avoid mixing strong actives; discontinue if irritation occurs
dry cheeks,sensitive,"glycerin, hyaluronic acid",Helps improve dry cheeks; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Biossance, Ren Clean Skincare, Paula's Choice",Avoid mixing strong actives; discontinue if irritation occurs
oily T-zone,combination,"azelaic acid, AHA",Helps improve oily T-zone; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Versed, Inkey List, Ren Clean Skincare",Avoid mixing strong actives; discontinue if irritation occurs
under-eye circles,oily,"benzoyl peroxide, salicylic acid",Helps improve under-eye circles; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, 111Skin, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
dark spots,normal,"vitamin C, kojic acid",Helps improve dark spots; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Avene, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
dry skin,sensitive,"ceramides, hyaluronic acid",Helps improve dry skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"111Skin, Sisley Paris, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
sensitivity,combination,"allantoin, calendula",Helps improve sensitivity; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, La Mer, Clarins",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,normal,"licorice root, tranexamic acid",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Clinique, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,oily,"azelaic acid, niacinamide",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Ren Clean Skincare, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
back acne,oily,"azelaic acid, tea tree oil",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, La Mer, Good Molecules",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,dry,"retinol, bakuchiol",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Youth to the People, Cetaphil, Minimalist",Avoid mixing strong actives; discontinue if irritation occurs
dull skin,combination,"kojic acid, azelaic acid",Helps improve dull skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Farmacy, Sisley Paris, Sunday Riley",Avoid mixing strong actives; discontinue if irritation occurs
clogged pores,dry,"tea tree oil, azelaic acid",Helps improve clogged pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, Neutrogena, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
acne scars,oily,"calendula, centella asiatica",Helps improve acne scars; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Peach & Lily, The Ordinary, Avene",Avoid mixing strong actives; discontinue if irritation occurs
sallow skin,combination,"vitamin C, azelaic acid",Helps improve sallow skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, StriVectin, Babor",Avoid mixing strong actives; discontinue if irritation occurs
pollution damage,combination,"salicylic acid, tea tree oil",Helps improve pollution damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Naturium, Peter Thomas Roth, Versed",Avoid mixing strong actives; discontinue if irritation occurs
melasma,normal,"vitamin C, niacinamide",Helps improve melasma; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Bioderma, Kiehl's, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,dry,"centella asiatica, aloe vera",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, Simple, Augustinus Bader",Avoid mixing strong actives; discontinue if irritation occurs
acne,sensitive,"niacinamide, benzoyl peroxide",Helps improve acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Obagi, Tatcha, Babor",Avoid mixing strong actives; discontinue if irritation occurs
textured skin,dry,"azelaic acid, kojic acid",Helps improve textured skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Roche Posay, Minimalist, Babor",Avoid mixing strong actives; discontinue if irritation occurs
tanning damage,normal,"vitamin C, AHA",Helps improve tanning damage; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Krave Beauty, Youth to the People",Avoid mixing strong actives; discontinue if irritation occurs
keratosis pilaris,sensitive,"licorice root, vitamin C",Helps improve keratosis pilaris; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Babor, Bioderma, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
rosacea,dry,"allantoin, green tea",Helps improve rosacea; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Sulwhasoo, Good Molecules, Aveeno",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,oily,"green tea, centella asiatica",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"La Mer, Paula's Choice, Neutrogena",Avoid mixing strong actives; discontinue if irritation occurs
back acne,combination,"benzoyl peroxide, azelaic acid",Helps improve back acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Estee Lauder, Cetaphil, Clinique",Avoid mixing strong actives; discontinue if irritation occurs
bumpy skin,dry,"collagen, bakuchiol",Helps improve bumpy skin; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Simple, Cetaphil, First Aid Beauty",Avoid mixing strong actives; discontinue if irritation occurs
sunburn,combination,"aloe vera, calendula",Helps improve sunburn; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Kiehl's, Glow Recipe, Inkey List",Avoid mixing strong actives; discontinue if irritation occurs
hyperpigmentation,normal,"azelaic acid, licorice root",Helps improve hyperpigmentation; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Shiseido, Allies of Skin, Simple",Avoid mixing strong actives; discontinue if irritation occurs
large pores,oily,"vitamin C, arbutin",Helps improve large pores; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Aveeno, LANEIGE, La Mer",Avoid mixing strong actives; discontinue if irritation occurs
redness,combination,"centella asiatica, aloe vera",Helps improve redness; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Allies of Skin, 111Skin, Shiseido",Avoid mixing strong actives; discontinue if irritation occurs
hyperkeratosis,oily,"salicylic acid, benzoyl peroxide",Helps improve hyperkeratosis; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"SK-II, Olay, Naturium",Avoid mixing strong actives; discontinue if irritation occurs
eczema,sensitive,"cholesterol, fatty acids",Helps improve eczema; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Ren Clean Skincare, Farmacy, Krave Beauty",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,sensitive,"tea tree oil, niacinamide",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"LANEIGE, Biossance, Cetaphil",Avoid mixing strong actives; discontinue if irritation occurs
rough patches,normal,"salicylic acid, niacinamide",Helps improve rough patches; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"CeraVe, LANEIGE, Obagi",Avoid mixing strong actives; discontinue if irritation occurs
hormonal acne,oily,"tea tree oil, azelaic acid",Helps improve hormonal acne; supports overall skin health,AM/PM: apply after cleansing; patch test recommended; use sunscreen daily,"Minimalist, Sisley Paris, Peach & Lily",Avoid mixing strong actives; discontinue if irritation occurs
